nComp,minbigul,pg,cpg,kpg,xpg
10,0.1439,1.0057,0.1660,0.1672,0.1615
11,0.1511,1.8961,0.1768,0.1765,0.1702
12,0.1595,3.6772,0.1890,0.1865,0.1797
13,0.1691,7.2396,0.2025,0.1974,0.1900
14,0.1802,14.3644,0.2176,0.2090,0.2010
15,0.1927,28.6143,0.2342,0.2215,0.2129
16,0.2067,57.1141,0.2525,0.2347,0.2256
17,0.2225,114.1140,0.2724,0.2487,0.2390
18,0.2399,228.1138,0.2942,0.2635,0.2533
19,0.2592,456.1137,0.3177,0.2791,0.2683
20,0.2804,912.1135,0.3432,0.2955,0.2842
21,0.3036,1824.1133,0.3706,0.3127,0.3008
22,0.3289,3648.1132,0.4001,0.3307,0.3182
23,0.3564,7296.1130,0.4317,0.3495,0.3364
24,0.3862,14592.1129,0.4655,0.3691,0.3555
25,0.4184,29184.1127,0.5016,0.3895,0.3753
26,0.4531,58368.1126,0.5399,0.4106,0.3959
50,2.2646,,2.3349,1.1566,1.1283
100,16.3137,,14.6419,4.1786,4.1221
200,125.8939,,103.8577,16.1735,16.0605
300,420.4107,,336.4299,36.1030,35.9336
400,991.4167,,781.0230,63.9671,63.7412
500,1930.4647,,1506.3014,99.7658,99.4834
600,3329.1074,,2580.9299,143.4990,143.1601
700,5278.8976,,4073.5729,195.1668,194.7715
800,7871.3880,,6052.8949,254.7691,254.3174
900,11198.1313,,8587.5606,322.3060,321.7978
1000,15350.6803,,11746.2345,397.7775,397.2129
1100,20420.5877,,15597.5810,481.1836,480.5625
1200,26499.4062,,20210.2649,572.5242,571.8467
1300,33678.6886,,25652.9506,671.7995,671.0654
1400,42049.9876,,31994.3027,779.0092,778.2187
1500,51704.8559,,39302.9857,894.1536,893.3066
2000,,,,1588.8939,1587.7646
2500,,,,2481.9984,2480.5869
3000,,,,3573.4672,3571.7734
3500,,,,4863.3003,4861.3242
4000,,,,6351.4976,6349.2393
4500,,,,8038.0592,8035.5185
5000,,,,9922.9851,9920.1621
6000,,,,14287.9295,14284.5420
7000,,,,19446.3310,19442.3789
8000,,,,25398.1895,25393.6728
